City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
214,Izmit,TR,2021-09-21 16:14:30,40.7669,29.9169,68.27,86,100,6.62
215,Saint Anthony,US,2021-09-21 16:10:22,45.0205,-93.218,64.92,68,5,1.99
216,Shahr-E Babak,IR,2021-09-21 16:14:31,30.1165,55.1186,80.65,16,63,6.08
217,Paamiut,GL,2021-09-21 16:14:31,61.994,-49.6678,34.05,51,100,4.92
218,Valdivia,CL,2021-09-21 16:14:32,-39.8142,-73.2459,59.09,46,17,4.29
219,Thanh Hoa,VN,2021-09-21 16:14:32,19.8,105.7667,77.32,86,10,2.77
220,Point Pedro,LK,2021-09-21 16:14:32,9.8167,80.2333,81.68,83,3,16.51
221,Along,IN,2021-09-21 16:14:33,28.1667,94.7667,72.16,97,14,1.99
222,Lebu,CL,2021-09-21 16:14:33,-37.6167,-73.65,56.68,58,0,8.7
223,Sakata,JP,2021-09-21 16:14:33,38.9167,139.855,66.22,85,1,12.84
224,Brae,GB,2021-09-21 16:14:34,60.3964,-1.353,56.08,86,100,27.94
225,Ulladulla,AU,2021-09-21 16:14:34,-35.35,150.4667,46.87,66,46,6.4
226,Kalangala,UG,2021-09-21 16:14:34,-0.3089,32.225,74.84,72,1,6.64
227,Aksarka,RU,2021-09-21 16:14:35,66.5606,67.7975,37.85,87,100,10.78
228,Husavik,IS,2021-09-21 16:14:35,66.0449,-17.3389,41.95,91,91,3.13
229,Varangaon,IN,2021-09-21 16:14:35,21.0167,75.9,77.32,89,89,8.97
230,Doha,QA,2021-09-21 16:10:44,25.2867,51.5333,94.98,36,0,11.5
231,Olafsvik,IS,2021-09-21 16:14:36,64.8945,-23.7142,40.28,91,100,38.9
232,Mamallapuram,IN,2021-09-21 16:14:36,12.6264,80.1722,86.05,71,86,9.17
233,Te Anau,NZ,2021-09-21 16:14:36,-45.4167,167.7167,37.8,94,61,2.48
234,Kodarma,IN,2021-09-21 16:14:37,24.4667,85.6,73.02,94,7,8.52
235,Luwuk,ID,2021-09-21 16:14:37,-0.9516,122.7875,73.06,88,100,4.5
236,Paducah,US,2021-09-21 16:14:37,37.0834,-88.6001,77.7,91,81,8.16
237,Srednekolymsk,RU,2021-09-21 16:14:38,67.45,153.6833,27.05,68,61,5.21
238,Sangar,RU,2021-09-21 16:14:38,63.9242,127.4739,36.28,85,88,6.46
239,Taos,US,2021-09-21 16:14:38,36.4072,-105.5731,59.72,44,2,3.0
240,Vila,PT,2021-09-21 16:13:39,42.0304,-8.1588,67.33,50,1,5.46
241,Baruun-Urt,MN,2021-09-21 16:14:39,46.6806,113.2792,53.46,75,0,4.34
242,Dalen,NL,2021-09-21 16:14:39,52.6992,6.7556,65.05,76,100,8.01
243,Inuvik,CA,2021-09-21 16:14:39,68.3499,-133.7218,33.53,81,100,18.92
244,Zhigansk,RU,2021-09-21 16:12:12,66.7697,123.3711,36.39,86,100,9.42
245,Aktau,KZ,2021-09-21 16:14:40,43.65,51.2,76.3,30,34,12.03
246,Churapcha,RU,2021-09-21 16:14:40,62.0025,132.4325,34.11,86,5,3.0
247,Kuusamo,FI,2021-09-21 16:14:41,65.9667,29.1833,34.41,81,90,4.29
248,Saint-Pierre,RE,2021-09-21 16:14:41,-21.3393,55.4781,67.28,65,2,10.09
249,Krasnovishersk,RU,2021-09-21 16:14:41,60.4078,57.082,36.21,88,71,3.71
250,Ixtapa,MX,2021-09-21 16:14:42,20.7,-105.2,82.22,80,24,3.0
251,Mogadishu,SO,2021-09-21 16:14:42,2.0371,45.3438,77.5,80,56,14.38
252,Kirkwall,GB,2021-09-21 16:14:42,58.9848,-2.9587,61.97,78,100,28.68
253,Neiafu,TO,2021-09-21 16:14:42,-18.65,-173.9833,76.39,77,15,17.16
254,Bend,US,2021-09-21 16:13:01,44.0582,-121.3153,63.09,44,0,5.21
255,Road Town,VG,2021-09-21 16:14:43,18.4167,-64.6167,87.01,77,33,17.11
256,Rabaul,PG,2021-09-21 16:14:43,-4.1967,152.1721,78.08,82,100,7.47
257,Tuatapere,NZ,2021-09-21 16:14:44,-46.1333,167.6833,45.82,90,72,3.8
258,Valparaiso,CL,2021-09-21 16:14:44,-33.0393,-71.6273,54.52,100,90,13.8
259,La Ronge,CA,2021-09-21 16:14:44,55.1001,-105.2842,50.4,66,69,7.27
260,Hualmay,PE,2021-09-21 16:14:45,-11.0964,-77.6139,67.35,69,29,10.38
261,Tayshet,RU,2021-09-21 16:14:45,55.9342,98.0044,37.33,86,99,5.97
262,Lesozavodsk,RU,2021-09-21 16:14:45,45.4794,133.4244,57.0,95,94,1.54
263,Shirokiy,RU,2021-09-21 16:14:46,49.758,129.523,50.23,81,100,7.25
264,Marrakesh,MA,2021-09-21 16:14:46,31.6315,-8.0083,86.99,23,0,8.37
265,Cap Malheureux,MU,2021-09-21 16:14:46,-19.9842,57.6142,70.47,65,9,8.01
266,Athabasca,CA,2021-09-21 16:14:47,54.7169,-113.2854,54.86,43,100,12.53
267,Kaeo,NZ,2021-09-21 16:14:47,-35.1,173.7833,59.32,91,100,11.7
268,Caxias,PT,2021-09-21 16:14:47,38.7031,-9.2767,81.14,44,0,11.61
269,Alekseyevsk,RU,2021-09-21 16:14:48,57.8406,108.3492,39.58,94,100,3.15
270,Fonte Boa,BR,2021-09-21 16:14:48,-2.4959,-66.2662,95.58,42,85,3.29
271,Port Blair,IN,2021-09-21 16:14:48,11.6667,92.75,80.06,80,99,13.47
272,Stepnyak,KZ,2021-09-21 16:14:49,52.8339,70.7803,35.69,82,54,7.27
273,Barranca,PE,2021-09-21 16:14:49,-10.75,-77.7667,65.95,71,60,10.63
274,Iskateley,RU,2021-09-21 16:14:49,67.6803,53.1512,39.54,83,86,8.34
275,Trelew,AR,2021-09-21 16:13:05,-43.249,-65.3051,73.17,15,0,18.14
276,West Wendover,US,2021-09-21 16:14:50,40.7391,-114.0733,57.07,33,0,2.13
277,Vestmannaeyjar,IS,2021-09-21 16:14:50,63.4427,-20.2734,44.91,79,100,50.6
278,Hithadhoo,MV,2021-09-21 16:14:50,-0.6,73.0833,84.07,74,75,16.55
279,Mount Gambier,AU,2021-09-21 16:14:51,-37.8333,140.7667,50.2,93,96,7.87
280,Plettenberg Bay,ZA,2021-09-21 16:14:51,-34.0527,23.3716,56.55,69,72,6.33
281,Ingham,US,2021-09-21 16:14:51,42.6,-84.3833,71.69,90,99,13.62
282,Beringovskiy,RU,2021-09-21 16:14:52,63.05,179.3167,38.95,92,100,9.19
283,Shimoda,JP,2021-09-21 16:14:52,34.6667,138.95,73.85,81,77,7.72
284,Kabanjahe,ID,2021-09-21 16:14:52,3.1001,98.4908,63.16,96,57,3.85
285,Kavaratti,IN,2021-09-21 16:14:53,10.5669,72.642,81.97,79,12,15.28
286,San Fernando,PH,2021-09-21 16:14:53,15.0286,120.6898,81.14,88,97,2.48
287,Abnub,EG,2021-09-21 16:14:53,27.2696,31.1511,97.07,13,0,15.9
288,Sinnamary,GF,2021-09-21 16:14:54,5.3833,-52.95,87.22,61,19,9.08
289,Soma,TR,2021-09-21 16:14:54,39.1855,27.6094,68.99,62,27,11.32
290,Daule,EC,2021-09-21 16:14:54,-1.865,-79.9792,84.94,54,92,3.38
291,Zaozerne,UA,2021-09-21 16:14:55,45.1582,33.2787,58.95,64,71,17.72
292,Copiapo,CL,2021-09-21 16:14:55,-27.3667,-70.3333,55.09,45,97,6.04
293,Pueblo,US,2021-09-21 16:12:29,38.2545,-104.6091,59.68,57,88,3.0
294,Lagunas,PE,2021-09-21 16:14:55,-5.2269,-75.6753,95.9,43,57,0.87
