City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
169,Mosquera,CO,2021-09-23 01:16:47,4.7059,-74.2302,53.69,94,75,2.3,drizzle
170,Srednekolymsk,RU,2021-09-23 01:11:25,67.45,153.6833,39.45,51,15,6.6,few clouds
171,Kodiak,US,2021-09-23 01:16:48,57.79,-152.4072,49.51,62,90,19.57,overcast clouds
172,Parana,AR,2021-09-23 01:16:48,-31.732,-60.5238,58.55,80,24,9.84,few clouds
173,Guerrero Negro,MX,2021-09-23 01:16:48,27.9769,-114.0611,77.31,71,25,15.52,scattered clouds
174,San Cristobal,VE,2021-09-23 01:12:55,7.7669,-72.225,68.18,97,84,2.57,broken clouds
175,Cairns,AU,2021-09-23 01:16:49,-16.9167,145.7667,81.07,56,90,19.57,overcast clouds
176,Bartlesville,US,2021-09-23 01:16:49,36.7473,-95.9808,71.31,50,0,7.61,clear sky
177,Pangkalanbuun,ID,2021-09-23 01:16:49,-2.6833,111.6167,83.59,68,47,5.03,scattered clouds
178,Usinsk,RU,2021-09-23 01:16:50,65.9939,57.5281,32.32,84,3,3.51,clear sky
179,Ondjiva,AO,2021-09-23 01:16:50,-17.0667,15.7333,71.62,20,100,3.89,overcast clouds
180,Lerwick,GB,2021-09-23 01:16:51,60.1545,-1.1494,51.8,90,100,29.8,overcast clouds
181,Loudi,CN,2021-09-23 01:16:51,27.7344,111.9944,82.04,59,0,3.09,clear sky
182,Pevek,RU,2021-09-23 01:16:51,69.7008,170.3133,29.43,65,100,7.67,overcast clouds
183,Frutal,BR,2021-09-23 01:16:52,-20.0247,-48.9406,74.07,38,0,13.87,clear sky
184,Gushikawa,JP,2021-09-23 01:16:52,26.3544,127.8686,86.0,76,1,6.91,clear sky
185,San Rafael,AR,2021-09-23 01:10:10,-34.6177,-68.3301,64.33,37,0,3.98,clear sky
186,Abashiri,JP,2021-09-23 01:16:52,44.0213,144.2697,73.69,73,75,8.05,broken clouds
187,Bandarbeyla,SO,2021-09-23 01:10:12,9.4942,50.8122,77.63,76,35,22.62,scattered clouds
188,Katsuura,JP,2021-09-23 01:16:53,35.1333,140.3,84.31,72,12,16.98,few clouds
189,Mahenge,TZ,2021-09-23 01:16:53,-8.6833,36.7167,59.2,84,13,1.21,few clouds
190,Hakkari,TR,2021-09-23 01:16:54,37.5833,44.1667,49.93,41,0,3.33,clear sky
191,Necochea,AR,2021-09-23 01:16:54,-38.5473,-58.7368,51.04,81,100,8.08,light rain
192,Lagoa,PT,2021-09-23 01:16:54,39.05,-27.9833,69.57,73,0,12.41,clear sky
193,Huanren,CN,2021-09-23 01:16:55,41.2647,125.3667,55.89,97,100,1.92,overcast clouds
194,Iizuka,JP,2021-09-23 01:16:55,33.6333,130.6833,84.0,69,57,6.8,broken clouds
195,Mar Del Plata,AR,2021-09-23 01:16:55,-38.0023,-57.5575,53.62,82,90,9.22,light rain
196,Port Hardy,CA,2021-09-23 01:15:04,50.6996,-127.4199,53.6,76,100,10.92,overcast clouds
197,Kamaishi,JP,2021-09-23 01:16:56,39.2667,141.8833,72.55,66,0,5.79,clear sky
198,Turkistan,KZ,2021-09-23 01:16:56,43.0,68.0,58.35,24,3,5.28,clear sky
199,Cueramaro,MX,2021-09-23 01:16:57,20.6167,-101.7167,69.22,71,73,5.75,broken clouds
200,Port Hueneme,US,2021-09-23 01:16:57,34.1478,-119.1951,94.24,66,1,5.75,clear sky
